method,lat,lon,wind_mph
gaussian,41.47369,-72.14799,26.9
gaussian,41.55251,-73.29346,26.0
gaussian,41.85004,-72.60001,30.8
gaussian,41.34799,-72.0702,23.6
gaussian,41.98162,-73.37236,31.2
gaussian,41.69692,-73.23431,28.0
gaussian,41.84322,-73.11697,31.0
gaussian,41.61114,-73.34625,25.5
gaussian,41.4665,-71.93997,26.3
gaussian,41.074,-73.42747,16.5
gaussian,41.51377,-71.85088,26.9
gaussian,41.96092,-71.84283,27.7
gaussian,42.00001,-72.19343,33.8
gaussian,41.72154,-72.7271,25.9
gaussian,41.6527,-71.93639,27.5
gaussian,41.5848,-73.509,28.0
gaussian,42.02378,-72.38477,35.5
gaussian,41.32736,-72.36952,24.1
gaussian,41.67112,-72.3094,28.8
gaussian,41.48457,-72.47843,22.9
gaussian,41.53434,-71.94465,27.6
gaussian,41.92483,-72.92995,34.7
gaussian,41.49912,-72.12104,26.9
gaussian,41.76684,-71.92698,26.8
gaussian,41.63522,-72.38939,27.9
gaussian,41.74781,-71.85914,27.4
gaussian,41.62313,-72.24989,27.7
gaussian,41.59665,-73.20208,25.2
gaussian,41.58667,-73.22783,24.6
gaussian,41.72942,-72.8842,26.0
gaussian,41.99498,-73.15323,35.8
gaussian,42.01833,-72.96271,35.5
gaussian,41.25615,-72.86851,18.4
gaussian,41.98435,-72.1984,33.0
gaussian,41.39944,-72.29381,21.9
gaussian,41.89308,-72.25087,31.3
gaussian,41.99258,-72.79017,35.3
gaussian,41.47767,-72.52671,23.0
gaussian,41.62772,-72.32074,28.3
gaussian,41.65799,-71.9231,27.5
gaussian,41.63968,-73.39935,27.8
gaussian,41.76346,-73.2779,30.4
gaussian,41.08659,-73.53511,19.9
gaussian,41.97439,-73.29737,33.8
gaussian,41.36618,-73.34745,20.0
gaussian,41.73079,-72.79792,27.6
gaussian,41.74547,-72.91958,26.8
gaussian,41.92987,-72.85985,33.3
gaussian,42.0246,-72.43119,36.4
gaussian,41.9015,-73.45796,33.5
gaussian,41.56771,-71.85744,28.2
gaussian,41.87068,-73.04756,31.7
gaussian,41.66111,-73.36895,26.8
gaussian,41.9242,-73.27221,33.7
gaussian,41.8603,-72.85593,31.0
gaussian,42.01566,-72.06064,31.0
gaussian,41.95685,-71.9693,26.6
gaussian,41.60026,-72.70221,20.6
gaussian,41.94952,-72.1257,30.0
gaussian,41.80153,-71.93938,26.7
gaussian,41.6178,-71.79711,28.1
gaussian,41.30911,-72.48213,23.6
gaussian,41.93102,-73.41467,32.9
gaussian,41.02427,-73.57268,24.7
gaussian,41.3724,-72.69821,19.8
gaussian,42.03571,-73.24943,36.2
gaussian,41.91946,-73.04629,33.4
gaussian,41.94091,-71.88346,27.0
gaussian,41.74284,-73.0293,31.1
gaussian,41.46881,-72.46033,23.5
gaussian,41.77827,-72.6252,30.1
gaussian,41.71883,-73.38901,27.3
gaussian,41.47684,-72.93045,19.1
gaussian,41.46956,-72.64823,23.1
gaussian,41.5616,-72.60627,20.8
gaussian,42.0039,-73.0783,35.2
gaussian,42.03469,-73.40178,33.0
gaussian,41.84792,-71.93149,26.5
gaussian,41.90196,-73.02343,32.0
gaussian,41.88565,-72.73396,33.4
gaussian,41.76703,-73.22657,30.8
gaussian,41.46908,-71.99955,25.9
gaussian,41.99305,-73.31556,33.8
gaussian,41.98542,-73.20443,34.6
gaussian,41.89966,-73.41276,32.5
gaussian,42.0004,-73.33005,33.1
gaussian,42.00065,-71.97045,29.0
gaussian,41.72866,-72.03627,27.8
gaussian,41.90468,-71.9059,26.5
gaussian,41.83432,-73.15639,30.1
gaussian,41.40868,-72.78216,19.3
gaussian,41.6206,-73.19711,26.4
gaussian,41.35545,-73.18196,16.5
gaussian,41.98964,-73.06021,33.5
gaussian,41.23411,-73.38696,14.5
gaussian,41.77799,-72.51846,30.0
gaussian,41.45571,-72.00406,25.9
gaussian,41.43002,-72.17098,26.2
gaussian,41.48417,-72.66366,23.1
gaussian,41.99096,-73.31673,33.8
gaussian,41.73792,-72.40196,28.6
gaussian,41.61693,-71.91433,27.5
gaussian,42.0295,-73.09269,35.6
gaussian,41.75842,-72.17885,26.9
gaussian,41.5882,-72.0199,27.2
gaussian,41.6384,-72.26803,27.6
gaussian,41.86903,-72.22165,29.9
gaussian,41.41299,-72.39435,22.4
gaussian,41.88602,-71.86764,27.3
gaussian,41.99146,-73.14822,35.8
gaussian,41.73119,-73.10256,28.0
gaussian,41.69875,-72.92495,26.2
gaussian,41.43085,-72.41422,23.2
gaussian,41.90936,-73.37328,32.2
gaussian,41.66731,-72.11104,27.6
gaussian,41.83452,-73.04503,31.2
gaussian,41.29522,-72.37093,25.9
gaussian,41.52289,-73.08421,22.3
gaussian,41.49805,-72.12428,26.9
gaussian,42.00753,-71.94074,28.9
gaussian,41.29944,-72.31758,26.2
gaussian,41.53464,-73.33278,25.8
gaussian,41.27274,-72.37901,27.5
gaussian,41.8444,-72.38139,30.8
gaussian,41.81997,-71.87863,27.5
gaussian,41.6461,-73.47588,25.2
gaussian,41.29342,-72.81118,20.3
gaussian,41.72284,-73.00212,30.2
gaussian,41.46033,-72.33253,23.3
gaussian,41.70075,-73.32453,27.6
gaussian,41.63505,-72.15422,27.6
gaussian,41.53594,-72.96391,23.3
gaussian,41.95833,-72.74997,34.7
gaussian,41.84546,-72.31096,30.3
gaussian,41.72549,-73.2697,28.4
gaussian,41.68752,-72.74982,24.8
gaussian,41.41104,-73.36818,22.1
gaussian,41.79292,-71.87183,27.7
gaussian,41.74229,-71.9969,27.1
gaussian,41.97542,-72.54061,34.6
gaussian,42.01753,-72.33382,34.0
gaussian,41.93177,-72.02644,28.7
gaussian,41.93504,-71.97543,26.6
gaussian,41.74715,-72.32778,28.9
gaussian,41.65795,-72.1128,27.6
gaussian,41.73314,-72.96461,30.2
gaussian,41.77587,-72.71243,30.7
gaussian,41.94645,-73.41719,32.7
gaussian,41.43387,-71.96254,25.0
gaussian,41.80233,-71.97799,27.0
gaussian,41.98777,-72.50822,34.8
gaussian,41.54227,-72.8784,19.9
gaussian,41.60185,-72.90358,20.9
gaussian,41.93896,-72.72281,34.4
gaussian,41.8361,-71.92037,26.5
gaussian,42.01197,-72.43671,36.4
gaussian,41.8379,-72.3388,29.1
gaussian,42.01977,-72.90897,35.5
gaussian,41.93826,-73.14035,35.2
gaussian,41.86595,-72.90248,31.8
gaussian,41.49149,-73.00752,23.8
gaussian,41.52688,-73.44738,24.1
gaussian,41.93701,-72.11307,30.0
gaussian,41.63339,-72.21469,27.6
gaussian,41.86266,-72.52369,31.0
gaussian,41.71471,-72.99983,30.2
gaussian,41.7078,-71.98499,27.0
gaussian,41.10505,-73.71604,23.1
gaussian,41.94191,-73.28496,34.8
gaussian,41.61233,-73.43497,25.5
gaussian,41.617,-72.0991,27.2
gaussian,41.35991,-72.68342,19.9
gaussian,41.81904,-72.88559,29.3
gaussian,41.93279,-72.93866,34.1
gaussian,41.7557,-73.42816,28.2
gaussian,41.75465,-73.04011,31.1
gaussian,41.92941,-73.14683,34.6
gaussian,41.38925,-72.40682,22.2
gaussian,41.77853,-72.40112,28.9
gaussian,41.89706,-72.23633,30.7
gaussian,41.66259,-72.4356,27.6
gaussian,41.96935,-73.32983,31.3
gaussian,41.71688,-72.13827,27.7
gaussian,41.39657,-72.67485,20.0
gaussian,42.00574,-72.0867,31.8
gaussian,41.71684,-72.15305,27.3
gaussian,41.8922,-72.09772,29.3
gaussian,41.35014,-72.26344,23.0
gaussian,41.90664,-72.05233,28.9
gaussian,41.44677,-71.93849,25.2
gaussian,41.40116,-72.06337,25.8
gaussian,41.5903,-73.51152,28.0
gaussian,41.72428,-73.41159,27.2
gaussian,41.73947,-72.70553,27.1
gaussian,41.71533,-73.27601,27.3
gaussian,41.2863,-73.0122,19.0
gaussian,41.80417,-72.08617,28.4
gaussian,41.87828,-72.4693,32.7
gaussian,41.9981,-72.0357,29.8
gaussian,41.75933,-71.82019,28.5
gaussian,42.01618,-73.37568,32.0
gaussian,42.00095,-72.75994,36.0
gaussian,41.52086,-73.51911,26.8
gaussian,41.35413,-73.4074,15.1
gaussian,41.46491,-72.43485,24.2
gaussian,41.89356,-72.38273,32.8
gaussian,41.54983,-72.42342,23.9
gaussian,41.3986,-73.04252,19.1
gaussian,42.01032,-73.06563,35.2
gaussian,41.85235,-72.63094,30.6
gaussian,42.00006,-72.57819,35.0
gaussian,41.60627,-72.42299,23.5
gaussian,41.51339,-72.82995,20.5
gaussian,41.44218,-72.90672,18.7
gaussian,42.01528,-73.08345,35.2
gaussian,41.48226,-72.77364,20.8
gaussian,41.93378,-72.24302,32.3
gaussian,41.50521,-71.81414,26.6
gaussian,41.96458,-72.14187,30.0
gaussian,41.32011,-72.4192,24.1
gaussian,41.64717,-71.82751,28.4
gaussian,41.67005,-72.61931,23.2
gaussian,42.0073,-72.08274,31.8
gaussian,41.98292,-72.74369,35.4
gaussian,41.67519,-73.40139,28.1
gaussian,41.72334,-73.40886,27.2
gaussian,41.87824,-73.2336,34.4
gaussian,41.84252,-72.38189,30.8
gaussian,41.98205,-72.86014,34.3
gaussian,41.85565,-72.53029,31.0
gaussian,41.76186,-73.30343,30.6
gaussian,41.96854,-72.6755,34.8
gaussian,41.60838,-72.34355,28.0
gaussian,41.63618,-72.39723,27.9
gaussian,41.64269,-73.20276,27.6
gaussian,41.75112,-72.55565,29.4
gaussian,41.27852,-73.01842,19.0
gaussian,41.69581,-72.2625,28.0
gaussian,41.62001,-73.16687,27.3
gaussian,41.52503,-71.79998,27.6
gaussian,41.556,-73.33235,26.1
gaussian,41.90618,-72.43776,33.7
gaussian,41.67821,-73.36808,26.6
gaussian,42.00659,-71.91633,28.9
gaussian,41.69466,-72.17583,27.7
gaussian,41.8738,-72.15156,29.5
gaussian,41.58712,-71.91496,27.5
gaussian,41.96271,-73.14157,35.2
gaussian,41.53247,-73.4677,24.8
gaussian,41.60427,-72.54455,22.6
gaussian,41.43687,-73.48982,25.9
gaussian,41.88979,-72.15587,30.0
gaussian,41.71614,-73.1277,28.9
gaussian,41.40192,-72.04324,25.8
gaussian,41.76949,-72.55107,29.8
gaussian,41.73222,-72.62346,29.2
gaussian,41.73244,-71.94434,26.6
gaussian,41.88561,-73.35004,32.4
gaussian,41.36242,-73.36957,15.6
gaussian,41.74459,-72.50287,30.2
gaussian,41.31675,-72.81587,19.2
gaussian,42.0052,-72.09992,31.8
gaussian,41.85737,-73.33684,31.6
gaussian,41.4594,-72.4629,23.5
gaussian,41.99132,-72.13651,30.8
gaussian,41.46613,-72.1349,26.4
gaussian,41.64962,-73.06479,25.7
gaussian,41.30803,-73.41676,14.9
gaussian,41.66226,-72.226,27.8
gaussian,41.89042,-72.79402,33.4
gaussian,41.42486,-72.25162,21.6
gaussian,41.90827,-72.99835,32.1
gaussian,41.70289,-73.31872,27.2
gaussian,41.92345,-72.26327,32.3
gaussian,41.46716,-72.16764,26.9
gaussian,41.98912,-72.61742,34.3
gaussian,41.89282,-72.89548,31.8
gaussian,41.331,-73.26535,14.8
gaussian,41.7489,-72.96963,30.2
gaussian,41.90319,-73.0441,32.6
gaussian,41.63941,-72.62909,21.8
gaussian,41.91543,-73.08226,33.1
gaussian,41.98118,-73.17341,35.7
gaussian,41.48152,-72.05769,27.0
gaussian,41.91405,-72.00194,27.7
gaussian,41.66589,-73.37193,26.6
gaussian,41.66832,-73.505,25.7
gaussian,41.83888,-71.81492,28.2
gaussian,42.00105,-72.1515,32.3
gaussian,41.86509,-72.65797,31.0
gaussian,41.53551,-72.99041,23.3
gaussian,41.03371,-73.6449,24.3
gaussian,41.42499,-73.13313,19.1
gaussian,41.5821,-72.3748,23.8
gaussian,41.36033,-73.02201,18.3
gaussian,41.34683,-73.43964,14.5
gaussian,42.00161,-72.99165,35.9
gaussian,41.43519,-71.92543,25.2
gaussian,41.61114,-72.23431,27.6
gaussian,42.02496,-72.39158,35.5
gaussian,41.75539,-72.65663,30.4
gaussian,41.87059,-72.315,30.3
gaussian,41.59616,-72.95888,23.1
gaussian,41.86191,-73.17616,31.4
gaussian,41.4617,-72.87509,19.6
gaussian,41.64461,-73.44284,25.9
gaussian,41.99347,-72.52553,34.8
gaussian,41.89959,-72.83137,33.3
gaussian,41.69868,-71.90977,27.7
gaussian,41.7082,-72.07188,27.9
gaussian,41.90344,-72.43301,33.1
gaussian,41.66598,-72.84571,26.4
gaussian,41.71093,-73.10757,28.1
gaussian,41.80686,-73.14567,29.1
gaussian,41.79294,-73.40945,31.1
gaussian,41.7073,-71.94723,26.4
gaussian,41.44342,-72.01564,26.2
gaussian,41.9005,-72.55116,31.9
gaussian,41.47592,-72.94965,19.8
gaussian,41.91182,-72.05106,28.9
gaussian,41.78961,-72.97611,30.4
gaussian,42.01337,-73.29056,34.2
gaussian,41.67465,-71.97969,27.0
gaussian,41.84709,-73.40771,32.4
gaussian,41.33671,-72.5496,22.9
gaussian,41.59927,-72.02921,27.2
gaussian,41.47671,-72.97853,22.7
gaussian,41.87051,-73.11502,32.0
gaussian,41.3954,-72.32851,21.5
gaussian,41.74299,-72.2149,28.0
gaussian,41.54949,-73.03782,22.8
gaussian,41.48156,-72.51115,23.0
gaussian,41.92367,-71.87144,27.2
gaussian,41.54616,-73.49689,27.5
gaussian,41.36106,-72.11808,23.3
gaussian,41.67246,-73.06203,27.4
gaussian,41.5135,-71.82223,26.8
gaussian,41.88495,-73.27792,33.6
gaussian,41.83839,-73.07784,31.9
gaussian,42.0102,-72.91983,35.5
gaussian,41.94924,-72.47023,34.1
gaussian,41.58405,-71.90767,27.9
gaussian,41.96483,-72.18802,32.0
gaussian,41.57137,-73.01145,24.0
gaussian,41.96491,-72.39439,34.4
gaussian,41.42769,-72.28704,22.4
gaussian,42.01323,-73.47301,37.2
gaussian,41.79993,-73.24623,32.1
gaussian,41.70379,-72.09399,27.9
gaussian,41.68355,-72.5943,24.1
gaussian,41.66378,-71.96366,26.8
gaussian,41.47733,-73.37228,23.7
gaussian,41.8344,-72.6963,31.3
gaussian,41.64583,-73.01964,27.6
gaussian,41.9824,-73.19686,34.6
gaussian,41.39515,-72.12356,25.6
gaussian,41.73271,-73.37855,29.5
gaussian,41.80422,-72.53585,30.2
gaussian,41.89447,-72.85582,32.0
gaussian,41.81879,-71.81123,28.6
gaussian,41.70545,-73.32599,27.6
gaussian,41.90408,-72.74964,33.4
gaussian,41.88152,-73.42111,32.5
gaussian,41.6398,-71.79604,28.0
gaussian,41.71015,-73.27287,27.3
gaussian,41.64598,-73.08132,25.7
gaussian,41.92064,-72.9763,32.3
gaussian,41.427,-72.41003,23.2
gaussian,41.95538,-73.48253,34.0
gaussian,41.79714,-72.46687,30.4
gaussian,41.63778,-72.22076,27.8
gaussian,42.01068,-73.07637,35.2
gaussian,42.01271,-72.60934,35.0
gaussian,42.00443,-72.31599,34.0
gaussian,41.37208,-72.11435,24.6
gaussian,41.75158,-72.50708,30.0
gaussian,41.98412,-72.0872,30.6
gaussian,41.07427,-73.57455,22.2
gaussian,41.59847,-72.16577,27.5
gaussian,41.70718,-72.00808,27.0
gaussian,41.5893,-73.41808,26.6
gaussian,41.78937,-72.99966,31.0
gaussian,41.7641,-72.56917,29.8
gaussian,41.94595,-72.67576,34.1
gaussian,41.53968,-71.92699,27.6
gaussian,41.88169,-71.97071,27.1
gaussian,41.74061,-72.43624,29.3
gaussian,42.00233,-72.42312,36.4
gaussian,41.95732,-72.24884,33.1
gaussian,41.18947,-73.21606,15.4
gaussian,41.67971,-72.79793,25.7
gaussian,41.55277,-72.8843,20.4
gaussian,41.74633,-72.60951,29.2
gaussian,41.81442,-72.73663,31.2
gaussian,41.35567,-72.98245,18.3
gaussian,41.87516,-72.2918,30.9
gaussian,41.50717,-72.24165,24.6
gaussian,41.71692,-71.85734,27.9
gaussian,41.8395,-72.5278,30.3
gaussian,41.98714,-72.30869,33.2
gaussian,41.60952,-71.93758,27.5
gaussian,41.87297,-73.22545,33.2
gaussian,41.28279,-72.94491,19.1
gaussian,41.32927,-72.10062,24.3
gaussian,41.69888,-73.37414,27.3
gaussian,41.78747,-72.39702,29.9
gaussian,41.5835,-73.17156,26.2
gaussian,41.87799,-72.42194,33.1
gaussian,41.61454,-72.9848,26.5
gaussian,41.54973,-72.02564,27.0
gaussian,41.87115,-72.22043,29.9
gaussian,41.89834,-73.4284,33.7
gaussian,42.02116,-72.09179,31.8
gaussian,41.44254,-73.32188,21.0
gaussian,41.37207,-72.41938,22.2
gaussian,41.93623,-73.02718,32.7
gaussian,41.57781,-73.50607,28.0
gaussian,41.97313,-72.51243,34.8
gaussian,41.7933,-73.02253,31.0
gaussian,41.79367,-71.90227,26.6
gaussian,41.06002,-73.55855,23.9
gaussian,41.8067,-73.18556,30.7
gaussian,41.95217,-71.81008,28.5
gaussian,42.03782,-73.20272,37.6
gaussian,41.64221,-71.8635,28.8
gaussian,41.47285,-72.52476,23.0
gaussian,41.97292,-72.58663,34.3
gaussian,41.68927,-72.09804,28.0
gaussian,41.72253,-72.29947,28.2
gaussian,41.74125,-73.33874,29.2
gaussian,41.75622,-72.1424,28.3
gaussian,41.32555,-72.19055,24.2
gaussian,41.13447,-73.41436,13.8
gaussian,41.93282,-73.28637,33.7
gaussian,41.81733,-72.61468,30.3
gaussian,41.68625,-73.0167,29.1
gaussian,41.8376,-71.83936,28.2
gaussian,41.8763,-73.29833,33.3
gaussian,41.60003,-72.655,19.9
gaussian,41.67192,-73.12395,27.5
gaussian,41.5685,-73.3524,26.1
gaussian,41.44983,-72.79002,20.0
gaussian,41.80163,-72.29204,28.7
gaussian,41.89303,-72.57927,31.6
gaussian,41.84299,-73.4326,32.9
gaussian,41.54972,-72.85491,21.6
gaussian,41.83052,-72.33125,29.1
gaussian,41.67614,-72.24433,27.9
gaussian,41.69561,-72.52279,29.8
gaussian,41.09806,-73.47747,15.6
gaussian,41.91531,-72.94111,34.1
gaussian,41.99068,-72.7607,35.4
gaussian,41.60053,-72.63371,20.0
gaussian,41.64448,-72.73025,23.2
gaussian,41.74666,-72.50352,30.2
gaussian,41.68259,-72.84418,26.4
gaussian,41.65992,-72.30778,28.5
gaussian,41.8981,-72.3269,31.4
gaussian,41.82454,-71.85502,27.5
gaussian,41.63114,-72.97784,26.5
gaussian,41.83553,-72.5536,30.6
gaussian,41.84869,-72.60871,30.6
gaussian,41.6976,-72.79739,26.9
gaussian,41.54685,-72.4308,23.9
gaussian,41.95898,-72.14121,30.0
gaussian,41.05,-73.52053,22.5
gaussian,41.87788,-73.14572,33.5
gaussian,41.92436,-72.02612,28.7
gaussian,41.50474,-71.81895,26.8
gaussian,41.81138,-73.05604,32.0
gaussian,42.01372,-71.89503,28.7
gaussian,41.60498,-72.09304,27.1
gaussian,41.83156,-73.20286,32.8
gaussian,41.67874,-72.11422,27.6
gaussian,41.71941,-72.74485,25.9
gaussian,41.88292,-72.09688,29.3
gaussian,41.76242,-72.22189,27.9
gaussian,41.5967,-73.42877,25.3
gaussian,41.90016,-72.46834,32.7
gaussian,41.80543,-73.40201,31.1
gaussian,41.58152,-71.8383,28.2
gaussian,41.80175,-72.09247,28.4
gaussian,41.87761,-72.45355,32.7
gaussian,41.33077,-72.02335,25.1
gaussian,41.48407,-72.68831,20.9
gaussian,41.63556,-73.18656,28.0
gaussian,41.55671,-73.25487,23.5
gaussian,41.81091,-73.18111,30.7
gaussian,41.33046,-73.0951,15.6
gaussian,41.97599,-72.17757,33.0
gaussian,41.88223,-72.63675,32.0
gaussian,41.68228,-71.89299,28.5
gaussian,41.43658,-71.93415,25.2
gaussian,41.89046,-72.52116,31.8
gaussian,41.79614,-73.19066,30.7
gaussian,41.6762,-72.10787,28.0
gaussian,41.6102,-73.31756,26.2
gaussian,41.32295,-72.60209,22.2
gaussian,41.88281,-71.86424,27.3
gaussian,41.51484,-71.83346,26.8
gaussian,41.56407,-72.11301,27.3
gaussian,41.53864,-72.22936,28.4
gaussian,41.80917,-73.18608,30.7
gaussian,41.58096,-72.70883,20.6
gaussian,41.42115,-73.41521,21.5
gaussian,41.9893,-73.44128,33.4
gaussian,41.47286,-72.18524,25.8
gaussian,41.54066,-73.30088,24.7
gaussian,41.88727,-72.50077,32.0
gaussian,41.7024,-72.04351,27.8
gaussian,42.0044,-73.32012,34.3
gaussian,41.98863,-72.82516,34.8
gaussian,41.80321,-73.32909,31.6
gaussian,41.47049,-72.81533,19.6
gaussian,41.60037,-71.82052,28.2
gaussian,41.84803,-73.24289,33.6
gaussian,41.57579,-72.28847,28.3
gaussian,41.77255,-73.38197,30.9
gaussian,41.4158,-72.226,21.5
gaussian,41.8105,-73.34477,31.6
gaussian,42.00905,-73.0968,35.7
gaussian,41.83469,-72.96668,30.4
gaussian,41.58588,-72.98341,25.1
gaussian,41.39922,-72.67443,20.0
gaussian,41.80992,-72.06977,28.3
gaussian,41.78315,-71.96257,26.6
gaussian,41.87905,-71.98124,27.7
gaussian,41.02355,-73.52357,24.9
gaussian,41.44439,-71.93701,25.2
gaussian,41.83576,-73.20425,32.8
gaussian,41.79826,-72.92346,28.6
gaussian,41.85485,-71.95143,26.9
gaussian,41.97655,-72.84407,34.3
gaussian,41.91341,-73.26443,33.7
gaussian,41.83232,-73.32731,31.2
gaussian,42.02885,-73.20883,37.6
gaussian,41.61952,-72.10884,27.2
gaussian,41.53177,-71.88491,27.7
gaussian,41.57155,-72.07808,27.1
gaussian,41.83107,-72.76986,33.0
gaussian,41.40487,-72.42642,22.1
gaussian,41.68329,-72.35865,28.9
gaussian,41.4042,-72.45085,21.9
gaussian,41.9507,-73.07498,34.3
gaussian,41.95356,-72.94559,35.0
gaussian,41.55127,-73.12086,24.0
gaussian,41.38897,-73.11932,17.4
gaussian,41.82386,-72.77471,33.0
gaussian,41.51456,-72.11751,26.9
gaussian,41.81352,-72.59124,30.3
gaussian,41.67602,-73.14681,27.9
gaussian,41.93593,-72.18343,32.0
gaussian,41.62312,-73.3916,26.9
gaussian,41.78097,-73.14097,28.5
gaussian,41.35057,-72.01063,24.4
gaussian,41.66134,-72.51331,24.5
gaussian,41.97819,-72.63009,34.3
gaussian,41.44115,-72.25508,22.1
gaussian,41.88708,-72.10426,29.3
gaussian,41.69747,-72.36856,28.8
gaussian,41.79117,-73.24824,32.1
gaussian,41.99109,-72.83272,34.3
gaussian,41.97974,-72.66419,34.5
gaussian,41.71618,-72.96968,29.1
gaussian,41.58029,-73.09741,24.5
gaussian,41.51623,-72.833,20.6
gaussian,41.81947,-73.18978,31.2
gaussian,41.7857,-72.34143,29.3
gaussian,41.76195,-73.09895,28.8
gaussian,41.59192,-71.87653,27.8
gaussian,41.70662,-73.0683,28.8
gaussian,41.76155,-72.15863,27.4
gaussian,41.26868,-73.05205,15.8
gaussian,41.3022,-72.64512,22.4
gaussian,41.93952,-72.80895,34.0
gaussian,41.82125,-73.03336,31.2
gaussian,41.61112,-73.32597,25.5
gaussian,41.79056,-72.907,28.6
gaussian,41.96911,-73.31696,33.8
gaussian,41.39434,-72.18885,22.3
gaussian,41.48872,-72.54178,22.6
gaussian,41.63278,-72.39802,26.5
gaussian,41.70413,-72.06465,27.9
gaussian,41.63828,-72.93039,23.5
gaussian,41.94573,-72.55785,33.7
gaussian,41.76956,-72.24105,27.9
gaussian,41.35453,-72.3399,22.9
gaussian,41.57426,-72.32589,26.6
gaussian,41.74097,-71.87127,27.4
gaussian,41.89326,-71.83263,27.8
gaussian,41.83561,-72.74612,32.1
gaussian,42.03065,-73.17896,37.3
gaussian,41.61807,-72.86805,22.9
gaussian,41.83798,-73.03403,31.2
gaussian,42.00047,-72.57046,35.0
gaussian,41.70005,-72.49438,30.0
gaussian,41.47494,-73.05286,20.3
gaussian,41.53184,-72.34859,24.6
gaussian,41.67158,-72.58783,24.1
gaussian,41.40511,-72.09911,25.4
gaussian,41.73071,-73.10422,28.0
gaussian,42.00009,-72.29766,34.6
gaussian,41.98341,-73.26938,34.8
gaussian,41.7869,-72.12378,28.7
gaussian,42.00459,-73.24444,34.3
gaussian,41.84014,-72.75512,32.1
gaussian,41.35935,-72.10254,23.1
gaussian,41.82142,-71.84681,28.2
gaussian,41.79297,-72.4369,30.3
gaussian,41.82321,-72.20738,28.4
gaussian,41.5572,-72.50842,22.4
gaussian,41.88118,-72.70912,33.2
gaussian,41.76642,-72.66719,30.4
gaussian,42.0014,-72.36721,34.3
gaussian,41.41211,-71.90813,24.7
gaussian,41.76703,-72.93683,29.1
gaussian,41.94435,-72.43429,34.6
gaussian,41.45809,-72.56637,23.3
