method,lat,lon,wind_mph
gaussian,41.43181,-73.14067,11.4
gaussian,41.66802,-73.24968,12.5
gaussian,41.6805,-73.16928,16.1
gaussian,41.46054,-72.80429,6.5
gaussian,41.49206,-72.33498,12.6
gaussian,41.5117,-73.33509,11.2
gaussian,41.47935,-72.45658,9.8
gaussian,41.67247,-72.93817,18.9
gaussian,41.453,-73.51873,6.0
gaussian,41.6755,-72.152,5.6
gaussian,41.45953,-73.29763,10.5
gaussian,41.92528,-72.42927,21.9
gaussian,41.38327,-72.04112,7.4
gaussian,41.95072,-73.31252,11.9
gaussian,41.39409,-72.17957,9.4
gaussian,41.85486,-71.85711,10.4
gaussian,41.80313,-73.49115,25.6
gaussian,41.40145,-71.94019,16.4
gaussian,41.89623,-73.24556,13.7
gaussian,41.47531,-73.1291,11.4
gaussian,41.28565,-73.09059,16.3
gaussian,41.78505,-73.3134,11.7
gaussian,41.73525,-73.4972,22.6
gaussian,41.79035,-72.85533,22.2
gaussian,41.38369,-72.50893,2.4
gaussian,41.46251,-73.19502,11.2
gaussian,41.82004,-72.46876,15.9
gaussian,41.28799,-73.25145,13.1
gaussian,41.95162,-72.74893,14.7
gaussian,41.60692,-72.24993,6.5
gaussian,41.81322,-73.31385,11.7
gaussian,41.52114,-73.34625,11.2
gaussian,41.3765,-72.16966,7.2
gaussian,41.42377,-71.88369,17.2
gaussian,41.96092,-72.92564,14.5
gaussian,42.00001,-72.42312,18.8
gaussian,41.66154,-73.2521,11.2
gaussian,41.5927,-73.38014,11.1
gaussian,41.4948,-73.509,7.5
gaussian,42.02378,-72.64727,15.7
gaussian,41.26736,-73.3867,13.6
gaussian,41.61112,-73.3594,12.5
gaussian,41.39457,-72.93781,10.3
gaussian,41.44434,-71.87903,20.0
gaussian,41.89483,-72.60182,21.6
gaussian,41.40912,-72.25229,11.0
gaussian,41.73684,-72.97698,22.2
gaussian,41.54522,-72.25814,10.0
gaussian,41.71781,-73.30289,12.9
gaussian,41.53313,-72.2827,13.7
gaussian,41.50665,-73.13646,12.4
gaussian,41.49667,-73.16221,12.4
gaussian,41.298,-73.08113,16.3
gaussian,41.66942,-72.98264,18.9
gaussian,41.96498,-72.49698,20.0
gaussian,41.98833,-71.97833,14.7
gaussian,41.16615,-73.42632,10.3
gaussian,41.98435,-72.88747,14.7
gaussian,41.30944,-72.55631,8.4
gaussian,41.86308,-71.98837,13.6
gaussian,41.96258,-72.13392,17.5
gaussian,41.38767,-72.98609,10.6
gaussian,41.53772,-72.35355,17.9
gaussian,41.59799,-73.39966,11.1
gaussian,41.54968,-73.36654,10.5
gaussian,41.70346,-72.98259,20.2
gaussian,41.08659,-73.43667,10.9
gaussian,41.60855,-72.50285,10.2
gaussian,41.94439,-72.64112,17.2
gaussian,41.27618,-73.01933,13.8
gaussian,41.67079,-72.92917,15.3
gaussian,41.68547,-73.01802,17.0
gaussian,41.89987,-72.53172,23.6
gaussian,42.0246,-72.69369,15.6
gaussian,41.8715,-73.26108,12.6
gaussian,41.47771,-71.85744,21.6
gaussian,41.84068,-72.98193,18.1
gaussian,41.57111,-73.33614,10.6
gaussian,41.8942,-72.87846,19.1
gaussian,41.8303,-72.85593,20.5
gaussian,42.01566,-72.29033,18.3
gaussian,41.95685,-73.08492,9.2
gaussian,41.21711,-73.42186,12.7
gaussian,41.51026,-72.63659,7.4
gaussian,41.94952,-73.30695,11.9
gaussian,41.77153,-72.46438,9.1
gaussian,41.5278,-71.82992,10.4
gaussian,41.24911,-73.49932,10.7
gaussian,41.90102,-73.08654,12.7
gaussian,41.02427,-73.53986,9.0
gaussian,41.2824,-72.73102,9.8
gaussian,42.03571,-73.4463,12.7
gaussian,41.88946,-72.68535,19.3
gaussian,41.94091,-72.96628,11.0
gaussian,41.68284,-73.12774,18.4
gaussian,41.37881,-72.95251,10.3
gaussian,41.71827,-71.87051,8.8
gaussian,41.62883,-72.40464,20.1
gaussian,41.38684,-73.22577,11.9
gaussian,41.37956,-73.07479,13.3
gaussian,41.4716,-72.57346,10.8
gaussian,41.9739,-72.09392,17.2
gaussian,42.00469,-72.02365,14.9
gaussian,41.84792,-73.40805,20.6
gaussian,41.87196,-72.76093,19.3
gaussian,41.85565,-72.47146,23.0
gaussian,41.70703,-72.93126,20.4
gaussian,41.37908,-72.22923,12.7
gaussian,41.96305,-72.65931,17.2
gaussian,41.95542,-72.54818,18.2
gaussian,41.86966,-73.18308,12.3
gaussian,41.9704,-72.34567,20.7
gaussian,42.00065,-72.23295,18.4
gaussian,41.69866,-73.44721,18.2
gaussian,41.90468,-73.34965,16.2
gaussian,41.80432,-73.38607,15.4
gaussian,41.31868,-72.91341,13.1
gaussian,41.5306,-73.1643,12.9
gaussian,41.26545,-72.98508,12.8
gaussian,41.95964,-72.40396,21.3
gaussian,41.14411,-73.35415,16.0
gaussian,41.74799,-73.47002,19.5
gaussian,41.36571,-72.23375,12.7
gaussian,41.34002,-72.56473,4.8
gaussian,41.39417,-73.09023,13.3
gaussian,41.96096,-72.66048,17.2
gaussian,41.67792,-72.27071,5.8
gaussian,41.52693,-71.91433,20.1
gaussian,42.0295,-73.12551,11.5
gaussian,41.72842,-73.13041,16.6
gaussian,41.4982,-71.98709,12.2
gaussian,41.5484,-72.03835,13.8
gaussian,41.83903,-72.02478,11.2
gaussian,41.32299,-72.62404,10.1
gaussian,41.88602,-73.31139,14.5
gaussian,41.96146,-72.45916,20.6
gaussian,41.67119,-73.201,13.3
gaussian,41.63875,-73.44995,15.9
gaussian,41.34085,-72.80797,10.9
gaussian,41.63179,-72.49724,10.2
gaussian,41.87936,-73.01234,14.1
gaussian,41.60731,-73.06261,12.3
gaussian,41.80452,-73.20909,14.9
gaussian,41.20522,-73.15843,8.3
gaussian,41.43289,-73.08421,12.2
gaussian,41.40805,-72.25553,11.0
gaussian,42.00753,-72.20324,18.6
gaussian,41.20944,-73.07227,9.5
gaussian,41.44464,-73.29996,10.5
gaussian,41.18274,-73.26494,17.1
gaussian,41.8144,-72.54545,7.7
gaussian,41.5561,-73.47588,6.6
gaussian,41.20342,-73.46743,9.8
gaussian,41.63284,-71.78805,8.4
gaussian,41.37033,-72.7919,9.6
gaussian,41.61075,-72.34016,15.4
gaussian,41.54505,-71.95735,16.9
gaussian,41.44594,-72.99673,12.1
gaussian,41.92833,-72.35622,20.3
gaussian,41.81546,-72.17971,14.7
gaussian,41.66549,-73.40095,16.5
gaussian,41.59752,-72.12638,10.8
gaussian,41.32104,-73.13849,16.5
gaussian,41.76292,-72.26558,8.6
gaussian,41.71229,-73.44065,18.2
gaussian,41.94542,-71.81874,14.0
gaussian,42.01753,-72.56351,16.5
gaussian,41.93177,-73.37175,14.4
gaussian,41.93504,-73.09105,9.2
gaussian,41.68715,-72.1309,5.5
gaussian,41.56795,-71.91593,15.5
gaussian,41.67314,-73.06304,15.4
gaussian,41.71587,-72.05618,8.3
gaussian,41.91645,-73.02344,11.7
gaussian,41.34387,-72.19223,10.7
gaussian,41.77233,-72.47017,9.1
gaussian,41.45227,-72.91121,9.8
gaussian,41.51185,-72.87077,5.5
gaussian,41.90896,-72.32906,19.2
gaussian,41.8061,-71.82193,9.2
gaussian,42.01197,-72.6664,15.7
gaussian,41.8079,-72.40442,9.7
gaussian,41.98977,-71.85897,14.5
gaussian,41.90826,-72.71379,16.9
gaussian,41.83595,-72.86967,21.4
gaussian,41.40149,-73.20439,11.4
gaussian,41.43688,-73.41457,12.2
gaussian,41.93701,-73.26151,12.8
gaussian,41.54339,-72.2475,12.6
gaussian,41.83266,-72.42526,16.2
gaussian,41.65471,-73.49202,14.7
gaussian,41.6478,-72.34592,14.0
gaussian,41.10505,-73.68323,7.0
gaussian,41.91191,-72.8584,18.6
gaussian,41.52233,-73.40216,10.5
gaussian,41.527,-72.0991,10.4
gaussian,41.26991,-72.71623,10.9
gaussian,41.78904,-73.08247,18.4
gaussian,41.90279,-72.61054,21.4
gaussian,41.6957,-73.13285,18.1
gaussian,41.69465,-73.10574,17.4
gaussian,41.89941,-72.78589,19.4
gaussian,41.29925,-72.50525,10.3
gaussian,41.74853,-73.3855,13.3
gaussian,41.86706,-71.97383,12.5
gaussian,41.57259,-72.30435,12.2
gaussian,41.93935,-72.67358,15.7
gaussian,41.65688,-72.43358,19.5
gaussian,41.30657,-72.87172,13.3
gaussian,42.00574,-72.31638,18.7
gaussian,41.65684,-72.44836,16.0
gaussian,41.8922,-73.47585,19.3
gaussian,41.29014,-73.37907,12.1
gaussian,41.90664,-73.39764,15.8
gaussian,41.35677,-72.13537,6.7
gaussian,41.31116,-72.22743,10.6
gaussian,41.5003,-73.47871,9.5
gaussian,41.63428,-72.42722,20.5
gaussian,41.67947,-72.86959,9.7
gaussian,41.62533,-72.29164,8.0
gaussian,41.1663,-73.14345,9.9
gaussian,41.77417,-72.77524,11.0
gaussian,41.84828,-72.23961,15.7
gaussian,41.9981,-72.26539,18.3
gaussian,41.72933,-72.903,24.0
gaussian,41.98618,-72.3913,21.1
gaussian,42.00095,-73.449,11.0
gaussian,41.43086,-73.4863,7.5
gaussian,41.26413,-73.01365,13.2
gaussian,41.37491,-72.89423,10.7
gaussian,41.86356,-72.12023,13.4
gaussian,41.45983,-72.42342,10.4
gaussian,41.3086,-73.04252,14.2
gaussian,41.98032,-72.08125,17.2
gaussian,41.82235,-72.5325,13.8
gaussian,42.00006,-73.07038,9.5
gaussian,41.51627,-72.39018,20.4
gaussian,41.42339,-73.12526,12.5
gaussian,41.35218,-73.1036,15.4
gaussian,41.98528,-72.09908,17.2
gaussian,41.39226,-73.16739,12.9
gaussian,41.90378,-71.94771,15.2
gaussian,41.44521,-73.52039,6.0
gaussian,41.96458,-73.29031,12.8
gaussian,41.26011,-73.43639,11.7
gaussian,41.58717,-73.20563,10.4
gaussian,41.58005,-72.02869,13.2
gaussian,42.0073,-72.31243,18.7
gaussian,41.95292,-72.08744,16.8
gaussian,41.58519,-73.04045,11.8
gaussian,41.63334,-72.42449,20.5
gaussian,41.84824,-72.9711,15.5
gaussian,41.81252,-72.51314,9.2
gaussian,41.95205,-72.20389,17.9
gaussian,41.82565,-72.39904,15.9
gaussian,41.70186,-73.00812,18.2
gaussian,41.93854,-71.98644,15.8
gaussian,41.51838,-72.34355,17.9
gaussian,41.54618,-72.23317,8.9
gaussian,41.55269,-73.10432,11.4
gaussian,41.69112,-72.49002,10.0
gaussian,41.15852,-73.14967,9.9
gaussian,41.63581,-72.68906,5.5
gaussian,41.53001,-73.13406,12.7
gaussian,41.46503,-73.47342,7.7
gaussian,41.466,-73.23391,11.0
gaussian,41.87618,-72.14244,15.7
gaussian,41.58821,-72.97433,13.7
gaussian,42.00659,-72.21165,18.4
gaussian,41.63466,-73.1274,11.5
gaussian,41.8438,-71.92187,9.1
gaussian,41.49712,-71.91496,20.7
gaussian,41.93271,-72.71501,16.9
gaussian,41.44247,-73.40208,12.2
gaussian,41.51427,-72.51174,14.0
gaussian,41.85979,-71.86056,10.4
gaussian,41.62614,-72.04489,9.2
gaussian,41.31192,-72.2073,10.1
gaussian,41.73949,-73.50263,22.6
gaussian,41.67222,-72.59065,6.2
gaussian,41.70244,-73.4209,15.7
gaussian,41.85561,-73.05473,16.4
gaussian,41.27242,-73.00863,13.2
gaussian,41.68459,-72.40443,16.3
gaussian,41.22675,-73.17681,10.5
gaussian,42.0052,-72.36242,19.2
gaussian,41.82737,-73.33684,14.4
gaussian,41.3694,-72.92228,10.5
gaussian,41.99132,-72.82558,14.5
gaussian,41.37613,-72.46302,3.0
gaussian,41.55962,-72.93354,9.6
gaussian,41.21803,-73.38395,13.7
gaussian,41.57226,-72.02912,13.8
gaussian,41.86042,-72.53152,22.0
gaussian,41.33486,-72.51412,6.4
gaussian,41.87827,-72.63742,20.6
gaussian,41.61289,-72.36716,15.4
gaussian,41.89345,-71.96796,15.2
gaussian,41.37716,-72.59421,4.3
gaussian,41.95912,-71.92836,15.2
gaussian,41.86282,-72.63298,17.3
gaussian,41.241,-73.33097,14.8
gaussian,41.6889,-73.06807,15.4
gaussian,41.24571,-73.04083,13.9
gaussian,41.87319,-72.74879,19.3
gaussian,41.54941,-72.39941,23.1
gaussian,41.88543,-72.72132,18.9
gaussian,41.95118,-72.48435,20.0
gaussian,41.39152,-72.28738,7.4
gaussian,41.91405,-73.34725,13.3
gaussian,41.57589,-72.97818,13.7
gaussian,41.57832,-73.14406,10.8
gaussian,41.83888,-73.48836,25.2
gaussian,42.00105,-72.38119,19.3
gaussian,41.83509,-72.55953,12.2
gaussian,41.44551,-73.02322,12.1
gaussian,41.03371,-73.6449,8.4
gaussian,41.33499,-73.0675,16.2
gaussian,41.4921,-72.40761,14.8
gaussian,41.27033,-72.89076,12.4
gaussian,41.25683,-73.04589,13.9
gaussian,41.97161,-72.00727,15.0
gaussian,41.34519,-72.15512,8.1
gaussian,41.52114,-72.26712,12.6
gaussian,42.02496,-72.65408,15.7
gaussian,41.69539,-71.90195,8.1
gaussian,41.84059,-72.18375,14.7
gaussian,41.50616,-72.92607,5.8
gaussian,41.83191,-73.11054,18.2
gaussian,41.3717,-73.20322,11.9
gaussian,41.55461,-73.41003,9.9
gaussian,41.99347,-73.47709,14.6
gaussian,41.86959,-72.56887,20.0
gaussian,41.63868,-72.10664,6.4
gaussian,41.6482,-72.40001,18.7
gaussian,41.87344,-72.23613,15.7
gaussian,41.57598,-72.25509,7.8
gaussian,41.62093,-71.99194,7.8
gaussian,41.74686,-72.03005,9.4
gaussian,41.73294,-72.65477,4.6
gaussian,41.6473,-72.27536,7.1
gaussian,41.78292,-72.15264,9.2
gaussian,41.35342,-72.24532,10.8
gaussian,41.8705,-72.32147,17.0
gaussian,41.38592,-73.24496,10.6
gaussian,41.91182,-73.39637,15.8
gaussian,41.75961,-73.50111,24.4
gaussian,41.98337,-72.339,19.9
gaussian,41.61465,-72.93125,16.2
gaussian,41.81709,-73.40771,20.0
gaussian,41.50927,-71.9964,12.2
gaussian,41.38671,-73.24103,10.6
gaussian,41.84051,-73.0494,17.3
gaussian,41.3054,-72.59101,9.8
gaussian,41.68299,-71.88678,8.1
gaussian,41.45949,-72.9722,12.0
gaussian,41.39156,-72.97052,10.6
gaussian,41.92367,-73.24957,13.6
gaussian,41.45616,-73.43127,11.1
gaussian,41.30106,-73.29933,12.8
gaussian,41.58246,-72.4386,13.9
gaussian,41.4235,-71.85505,17.0
gaussian,41.85495,-73.01542,15.7
gaussian,41.80839,-73.27471,11.5
gaussian,41.9802,-71.90265,15.0
gaussian,41.91924,-72.04367,17.0
gaussian,41.49405,-71.94048,20.7
gaussian,41.96483,-73.36927,12.2
gaussian,41.48137,-72.97863,12.0
gaussian,41.93491,-71.96783,16.0
gaussian,41.33769,-72.71361,8.7
gaussian,41.98323,-72.48863,18.6
gaussian,41.73993,-72.29467,6.6
gaussian,41.64379,-72.42212,19.5
gaussian,41.59355,-71.97087,11.6
gaussian,41.60378,-73.44022,8.8
gaussian,41.35733,-71.86291,13.1
gaussian,41.8044,-72.92599,25.0
gaussian,41.55583,-72.85558,3.4
gaussian,41.9524,-72.54061,18.2
gaussian,41.30515,-72.35325,5.8
gaussian,41.67271,-73.47698,18.6
gaussian,41.77422,-73.06085,17.5
gaussian,41.86447,-72.59332,18.6
gaussian,41.81879,-73.48467,22.7
gaussian,41.61545,-72.37443,20.1
gaussian,41.87408,-72.51995,22.0
gaussian,41.85152,-73.15861,14.3
gaussian,41.5798,-73.20698,10.4
gaussian,41.62015,-72.32131,10.9
gaussian,41.55598,-72.98288,11.7
gaussian,41.89064,-72.64818,20.6
gaussian,41.337,-72.83659,11.6
gaussian,41.92538,-73.12159,10.8
gaussian,41.76714,-72.99187,22.8
gaussian,41.54778,-72.02388,13.8
gaussian,41.98068,-72.12481,18.0
gaussian,42.01271,-73.06871,9.5
gaussian,42.00443,-72.54567,16.5
gaussian,41.69158,-72.44145,15.5
gaussian,41.98412,-72.74345,14.4
gaussian,41.07427,-73.4433,10.9
gaussian,41.50847,-72.19858,12.3
gaussian,41.64718,-72.3362,9.8
gaussian,41.4993,-73.38527,11.7
gaussian,41.91595,-72.2492,17.9
gaussian,41.44968,-71.86137,20.0
gaussian,41.88169,-73.38165,17.4
gaussian,41.68061,-72.3378,8.5
gaussian,42.00233,-72.68562,15.6
gaussian,41.95732,-73.4629,14.7
gaussian,41.12947,-73.38013,13.7
gaussian,41.58971,-72.14168,10.8
gaussian,41.46277,-72.81867,6.5
gaussian,41.68633,-72.60951,7.2
gaussian,41.78442,-73.26163,12.4
gaussian,41.26567,-72.88401,12.4
gaussian,41.84516,-72.0293,14.4
gaussian,41.41717,-72.53697,5.7
gaussian,41.65692,-72.05422,6.3
gaussian,41.8095,-72.82311,19.1
gaussian,41.98714,-73.12901,10.7
gaussian,41.51952,-71.93758,20.1
gaussian,41.84297,-73.15983,16.6
gaussian,41.16279,-73.10897,9.0
gaussian,41.26927,-73.21624,13.0
gaussian,41.60888,-72.38977,20.1
gaussian,41.75747,-72.95483,26.1
gaussian,41.4935,-73.10593,12.2
gaussian,41.84799,-72.19225,15.0
gaussian,41.52454,-72.95199,7.9
gaussian,41.45973,-71.9272,19.0
gaussian,41.84115,-72.02356,11.2
gaussian,41.86834,-73.19871,12.3
gaussian,42.02116,-72.32148,18.7
gaussian,41.35254,-73.3547,8.6
gaussian,41.28207,-72.55063,12.0
gaussian,41.90623,-72.60061,20.0
gaussian,41.48781,-73.47326,9.5
gaussian,41.76367,-72.39446,6.2
gaussian,41.06002,-73.46011,7.6
gaussian,41.7467,-72.13556,8.7
gaussian,41.95217,-72.8929,16.8
gaussian,42.03782,-73.39959,9.6
gaussian,41.58221,-73.24163,9.1
gaussian,41.38285,-72.98414,10.6
gaussian,41.94292,-71.89757,14.9
gaussian,41.62927,-73.08242,12.3
gaussian,41.66253,-72.79166,4.1
gaussian,41.68125,-73.43718,18.1
gaussian,41.72622,-73.12678,15.7
gaussian,41.26555,-73.27336,13.3
gaussian,41.10447,-73.38155,14.7
gaussian,41.90282,-72.92543,18.9
gaussian,41.78733,-72.87718,24.6
gaussian,41.59625,-72.39326,21.5
gaussian,41.8376,-73.47999,22.7
gaussian,41.8463,-73.03583,16.4
gaussian,41.51003,-72.58937,8.3
gaussian,41.58192,-72.4677,13.9
gaussian,41.4785,-73.25396,11.0
gaussian,41.35983,-73.08533,14.7
gaussian,41.77163,-72.91548,27.3
gaussian,41.86303,-72.34958,18.7
gaussian,41.78299,-71.95604,7.7
gaussian,41.45972,-72.8221,6.5
gaussian,41.80052,-72.42969,9.7
gaussian,41.61614,-73.2287,9.8
gaussian,41.63561,-73.04779,14.1
gaussian,41.09806,-73.51028,9.3
gaussian,41.88531,-72.61298,21.4
gaussian,41.96068,-72.10445,16.8
gaussian,41.51053,-72.56808,10.9
gaussian,41.55448,-72.43494,20.0
gaussian,41.68666,-72.4379,18.2
gaussian,41.59259,-72.25356,7.8
gaussian,41.56992,-72.07809,11.6
gaussian,41.8681,-72.0644,13.8
gaussian,41.82454,-73.49564,25.2
gaussian,41.54114,-72.94503,7.9
gaussian,41.80553,-72.84892,22.2
gaussian,41.81869,-72.51027,13.8
gaussian,41.6376,-73.3552,11.6
gaussian,41.45685,-72.46362,9.8
gaussian,41.95898,-73.28965,12.8
gaussian,41.08,-73.65178,7.3
gaussian,41.84788,-72.85041,18.8
gaussian,41.92436,-73.40424,15.8
gaussian,41.41474,-71.85176,17.0
gaussian,41.75138,-71.9076,7.9
gaussian,42.01372,-72.15753,18.3
gaussian,41.51498,-72.12585,11.4
gaussian,41.80156,-73.39974,17.6
gaussian,41.61874,-73.09859,11.6
gaussian,41.65941,-73.26985,11.0
gaussian,41.88292,-73.47501,19.3
gaussian,41.73242,-73.17345,17.1
gaussian,41.5067,-73.39596,11.0
gaussian,41.87016,-72.27147,16.0
gaussian,41.74543,-72.68013,6.0
gaussian,41.49152,-71.87111,18.1
gaussian,41.77175,-72.78153,11.0
gaussian,41.84761,-72.22387,15.7
gaussian,41.27077,-73.10617,13.8
gaussian,41.39407,-73.11487,13.6
gaussian,41.54556,-73.05531,11.4
gaussian,41.46671,-73.15643,11.4
gaussian,41.75091,-72.13111,8.7
gaussian,41.24046,-73.29198,15.1
gaussian,41.97599,-72.86663,14.7
gaussian,41.85223,-72.40706,21.5
gaussian,41.62228,-72.81174,2.9
gaussian,41.34658,-72.13103,6.7
gaussian,41.24545,-73.17034,12.9
gaussian,41.86046,-72.32428,17.0
gaussian,41.73614,-72.14066,8.7
gaussian,41.6162,-73.05943,12.5
gaussian,41.5202,-73.28475,11.5
gaussian,41.23295,-73.06147,12.3
gaussian,41.88281,-73.30799,14.5
gaussian,41.42484,-71.86627,17.0
gaussian,41.47407,-72.04738,6.4
gaussian,41.44864,-72.19655,11.6
gaussian,41.74917,-72.13608,8.7
gaussian,41.49096,-72.6432,7.4
gaussian,41.33115,-73.15271,16.5
gaussian,41.9593,-72.81784,16.2
gaussian,41.38286,-72.64462,6.2
gaussian,41.45066,-73.26807,10.1
gaussian,41.85727,-72.30389,16.3
gaussian,41.6424,-72.37164,14.0
gaussian,41.9744,-72.33575,19.9
gaussian,41.95863,-72.20172,17.9
gaussian,41.74321,-72.50878,7.2
gaussian,41.38049,-73.17627,12.9
gaussian,41.51037,-71.85333,18.1
gaussian,41.81803,-73.17727,14.5
gaussian,41.48579,-72.32128,12.6
gaussian,41.71255,-73.11947,16.5
gaussian,41.3258,-72.4885,4.3
gaussian,41.7505,-72.49164,10.0
gaussian,41.97905,-72.11243,18.0
gaussian,41.80469,-73.13074,17.4
gaussian,41.49588,-72.95059,8.5
gaussian,41.30922,-72.87131,13.3
gaussian,41.77992,-72.6932,3.4
gaussian,41.75315,-72.97976,22.2
gaussian,41.87905,-73.39218,18.4
gaussian,41.02355,-73.52357,9.0
gaussian,41.35439,-72.13389,6.7
gaussian,41.80576,-73.43394,20.0
gaussian,41.76826,-73.48127,20.5
gaussian,41.85485,-73.42799,20.8
gaussian,41.94655,-72.22064,17.9
gaussian,41.88341,-72.9035,18.9
gaussian,41.80232,-73.49137,25.6
gaussian,42.02885,-73.40571,9.6
gaussian,41.52952,-72.14165,11.6
gaussian,41.44177,-71.81929,19.3
gaussian,41.48155,-71.97965,10.4
gaussian,41.80107,-72.96673,21.1
gaussian,41.31487,-72.68892,9.1
gaussian,41.62329,-73.40865,13.7
gaussian,41.3142,-72.68054,9.1
gaussian,41.9207,-72.64842,19.4
gaussian,41.92356,-72.51903,21.6
gaussian,41.46127,-73.05524,13.5
gaussian,41.29897,-72.95526,13.5
gaussian,41.79386,-72.97158,21.1
gaussian,41.42456,-72.24876,11.0
gaussian,41.78352,-73.11624,16.8
gaussian,41.58602,-72.55619,8.6
gaussian,41.93593,-73.36468,12.2
gaussian,41.53312,-73.3916,10.5
gaussian,41.72097,-72.87847,12.7
gaussian,41.29057,-73.22469,13.0
gaussian,41.57134,-72.34925,19.4
gaussian,41.94819,-71.94103,15.2
gaussian,41.35115,-72.68165,8.2
gaussian,41.88708,-73.48238,19.3
gaussian,41.63747,-72.92637,15.3
gaussian,41.73117,-72.29668,6.6
gaussian,41.96109,-72.17647,17.9
gaussian,41.94974,-72.00794,15.8
gaussian,41.65618,-73.49468,14.7
gaussian,42.04546,-73.39008,9.6
gaussian,41.49029,-73.0646,12.7
gaussian,41.42623,-72.89863,9.8
gaussian,41.78947,-73.38665,15.4
gaussian,41.7557,-72.93206,26.1
gaussian,41.70195,-72.83645,6.2
gaussian,41.50192,-71.90935,21.5
gaussian,41.61662,-71.91987,7.0
gaussian,41.73155,-73.14301,16.6
gaussian,41.17868,-73.51143,8.4
gaussian,41.25329,-73.06743,14.2
gaussian,41.2122,-73.367,13.5
gaussian,41.90952,-72.4152,21.9
gaussian,41.79125,-73.19742,14.9
gaussian,41.52112,-73.29315,11.3
gaussian,41.76056,-73.46481,20.5
gaussian,41.93911,-72.66071,17.2
gaussian,41.30434,-72.3201,8.5
gaussian,41.39872,-72.90272,9.4
gaussian,41.54278,-72.39802,20.4
gaussian,41.64413,-72.39277,18.7
gaussian,41.54828,-72.60227,4.4
gaussian,41.91573,-72.13129,16.4
gaussian,41.73956,-73.19261,17.1
gaussian,41.29453,-73.45552,10.8
gaussian,41.48426,-72.32589,10.5
gaussian,41.71097,-73.31502,12.9
gaussian,41.89326,-73.27638,13.7
gaussian,41.80561,-72.94299,23.7
gaussian,42.03065,-73.2774,9.6
gaussian,41.52807,-72.76962,4.9
gaussian,41.80798,-73.19809,14.9
gaussian,42.00047,-72.99702,10.3
gaussian,41.64005,-73.01938,14.9
gaussian,41.38494,-73.34817,9.1
gaussian,41.44184,-72.38141,7.1
gaussian,41.58158,-71.9972,12.9
gaussian,41.31511,-72.26317,9.7
gaussian,41.67071,-73.20265,13.3
gaussian,42.00009,-72.52735,17.0
gaussian,41.95341,-72.61313,17.8
gaussian,41.7569,-72.81284,14.9
gaussian,41.97459,-72.29288,19.1
gaussian,41.81014,-72.98481,21.1
gaussian,41.29935,-73.28379,13.0
gaussian,41.82142,-73.48743,22.7
gaussian,41.76297,-72.99472,22.8
gaussian,41.79321,-72.24019,13.3
gaussian,41.4672,-72.50842,11.2
gaussian,41.85118,-72.47943,23.0
gaussian,41.70642,-71.9125,8.1
gaussian,42.0014,-72.62971,15.8
gaussian,41.32211,-72.00657,11.3
gaussian,41.70703,-72.44464,14.1
gaussian,41.91435,-72.00773,16.8
gaussian,41.36809,-73.02575,11.1
gaussian,41.8773,-72.78568,19.4
gaussian,41.98768,-72.35046,20.7
